번호,사고일자,장소,실제 주소,피해여부,Longitude,Latitude
1,2020.01.18,북면 천부리(선창 자연동굴 입구),경북 울릉군 북면 천부리 산4-8,X,130.908784379873,37.5472471565624
2,2020.02.14.~ 19.,울릉읍 사동리~남양리,경북 울릉군 서면 남양리 산4,O,130.866808643177,37.4602030059956
3,2020.07.10,서면 남서리 일원,경북 울릉군 서면 남서리 산113,O,130.817561476694,37.474622681703
4,2021.01.13,서면 남양리 통구미터널 ~ 남통터널 사이,경북 울릉군 서면 남양리 산70-1,X,130.84935821981,37.4645271368157
5,2021.03.02,북면 천부리 산175-4,북면 천부리 산175-4,O,130.882560743406,37.5425480769264
6,2021.05.13,북면 예림원 ~ 노인봉 사이,경북 울릉군 북면 현포리 산33,X,130.832983814969,37.5288801690661
7,2021.05.24,서면 남양리 산3-3번지 일원,경북 울릉군 서면 남양리 산3-3,X,130.872113734144,37.4556189649104
8,2021.10.13,서면 남양리 산100-5번지 일원,경북 울릉군 서면 남양리 산103-3,O,130.849712891879,37.4730676834184
9,2021.10.23,울릉읍 사동리 물레치기 일원,경북 울릉군 울릉순환로 592,O,130.889006397144,37.4736025412887
10,2022.01.07,서면 남양리 산3-1번지 일원,경북 울릉군 서면 남양리 산 3-1,O,130.870900767708,37.4581015676414
11,2022.08.31,서면 남서리 사자바위 일원,경북 울릉군 서면 남서리 54-10,X,130.832649626754,37.4671670151612
12,2022.10.07,북면 현포리 일원,경북 울릉군 북면 현포리 296-2,O,130.839802112359,37.5328530391679
13,2023.03.21,서면 남서리 산162-1,경북 울릉군 서면 남서리 산162-1,X,130.806501805398,37.4833588927944
14,2023.09.21,북면 천부리 산2-12,경북 울릉군 북면 천부리 산2-12,X,130.908429077351,37.5441053578515
15,2023.09.24,북면 현포리 일원,경북 울릉군 북면 현포리 산33-3,O,130.831436892242,37.5288285057705
16,2023.10.02,서면 통구미항 내 거북바위,경북 울릉군 서면 남양리 153-19,O,130.858241448014,37.4606044727849
17,2024.02.17,서면 남양리 산 17번지 일원,경북 울릉군 서면 남양리 산17,X,130.859891407054,37.4609296111829
18,2024.05.06,북면 천부리 산 4-9,경북 울릉군 북면 천부리 산4-9,O,130.907680552179,37.5481656549568
19,2024.09.22,북면 천부리 산4-10번지 일원,경북 울릉군 북면 천부리 산4-10,O,130.899551854947,37.5473997243972
